TR	RelativeTime	Datetime	Description
1	2.013126	28-Jan-2025 11:37:34	SimTR
0	2.0159185	28-Jan-2025 11:37:34	TrueTR
2	4.0133745	28-Jan-2025 11:37:36	SimTR
1	4.0151898	28-Jan-2025 11:37:36	TrueTR
3	6.0131191	28-Jan-2025 11:37:38	SimTR
2	6.0144994	28-Jan-2025 11:37:38	TrueTR
4	8.0134823	28-Jan-2025 11:37:40	SimTR
3	8.0146904	28-Jan-2025 11:37:40	TrueTR
5	10.0134285	28-Jan-2025 11:37:42	SimTR
4	10.0146255	28-Jan-2025 11:37:42	TrueTR
6	12.0136008	28-Jan-2025 11:37:44	SimTR
5	12.0151368	28-Jan-2025 11:37:44	TrueTR
7	14.013463	28-Jan-2025 11:37:46	SimTR
6	14.0146941	28-Jan-2025 11:37:46	TrueTR
8	16.0145861	28-Jan-2025 11:37:48	SimTR
7	16.0159289	28-Jan-2025 11:37:48	TrueTR
9	18.0137752	28-Jan-2025 11:37:50	SimTR
8	18.0149248	28-Jan-2025 11:37:50	TrueTR
10	20.013542	28-Jan-2025 11:37:52	SimTR
9	20.014565	28-Jan-2025 11:37:52	TrueTR
11	22.0160847	28-Jan-2025 11:37:54	SimTR
10	22.0173682	28-Jan-2025 11:37:54	TrueTR
11	23.991381	28-Jan-2025 11:37:56	TrueTR
12	24.000134	28-Jan-2025 11:37:56	SimTR
13	26.0000741	28-Jan-2025 11:37:58	SimTR
12	26.0044445	28-Jan-2025 11:37:58	TrueTR
14	28.0001145	28-Jan-2025 11:38:00	SimTR
13	28.0020077	28-Jan-2025 11:38:00	TrueTR
15	30.0000615	28-Jan-2025 11:38:02	SimTR
14	30.0013311	28-Jan-2025 11:38:02	TrueTR
15	31.9995179	28-Jan-2025 11:38:04	TrueTR
16	32.0017053	28-Jan-2025 11:38:04	SimTR
17	34.0142991	28-Jan-2025 11:38:06	SimTR
16	34.0155004	28-Jan-2025 11:38:06	TrueTR
18	36.0139375	28-Jan-2025 11:38:08	SimTR
17	36.0151588	28-Jan-2025 11:38:08	TrueTR
18	37.9977424	28-Jan-2025 11:38:10	TrueTR
19	38.0141248	28-Jan-2025 11:38:10	SimTR
19	39.999235	28-Jan-2025 11:38:12	TrueTR
20	40.0318987	28-Jan-2025 11:38:12	SimTR
20	41.9989939	28-Jan-2025 11:38:14	TrueTR
21	42.032069	28-Jan-2025 11:38:14	SimTR
22	44.030953	28-Jan-2025 11:38:16	SimTR
21	44.0323105	28-Jan-2025 11:38:16	TrueTR
23	46.0337311	28-Jan-2025 11:38:18	SimTR
22	46.0348629	28-Jan-2025 11:38:18	TrueTR
24	48.0324629	28-Jan-2025 11:38:20	SimTR
23	48.0336462	28-Jan-2025 11:38:20	TrueTR
25	50.0317012	28-Jan-2025 11:38:22	SimTR
24	50.0328744	28-Jan-2025 11:38:22	TrueTR
26	52.0335268	28-Jan-2025 11:38:24	SimTR
25	52.0348248	28-Jan-2025 11:38:24	TrueTR
27	54.0000448	28-Jan-2025 11:38:26	SimTR
28	56.0000176	28-Jan-2025 11:38:28	SimTR
26	56.0012307	28-Jan-2025 11:38:28	TrueTR
29	58.0171769	28-Jan-2025 11:38:30	SimTR
27	58.0185676	28-Jan-2025 11:38:30	TrueTR
28	59.9965046	28-Jan-2025 11:38:32	TrueTR
30	60.0006732	28-Jan-2025 11:38:32	SimTR
29	61.9906546	28-Jan-2025 11:38:34	TrueTR
31	62.0000154	28-Jan-2025 11:38:34	SimTR
32	64.0000977	28-Jan-2025 11:38:36	SimTR
30	64.0073961	28-Jan-2025 11:38:36	TrueTR
33	66.0150755	28-Jan-2025 11:38:38	SimTR
31	66.0162256	28-Jan-2025 11:38:38	TrueTR
34	68.0151626	28-Jan-2025 11:38:40	SimTR
32	68.0167936	28-Jan-2025 11:38:40	TrueTR
35	70.0151585	28-Jan-2025 11:38:42	SimTR
33	70.0166449	28-Jan-2025 11:38:42	TrueTR
36	72.0010419	28-Jan-2025 11:38:44	SimTR
34	72.0025581	28-Jan-2025 11:38:44	TrueTR
37	74.0011047	28-Jan-2025 11:38:46	SimTR
35	74.0023055	28-Jan-2025 11:38:46	TrueTR
38	76.0154045	28-Jan-2025 11:38:48	SimTR
36	76.0165386	28-Jan-2025 11:38:48	TrueTR
39	78.016201	28-Jan-2025 11:38:50	SimTR
37	78.0172619	28-Jan-2025 11:38:50	TrueTR
40	80.0160946	28-Jan-2025 11:38:52	SimTR
38	80.0171807	28-Jan-2025 11:38:52	TrueTR
41	82.0156029	28-Jan-2025 11:38:54	SimTR
39	82.016992	28-Jan-2025 11:38:54	TrueTR
42	84.000513	28-Jan-2025 11:38:56	SimTR
40	84.0348311	28-Jan-2025 11:38:56	TrueTR
43	86.0000991	28-Jan-2025 11:38:58	SimTR
41	86.0062534	28-Jan-2025 11:38:58	TrueTR
42	88.0002617	28-Jan-2025 11:39:00	TrueTR
44	88.0023819	28-Jan-2025 11:39:00	SimTR
43	89.9990191	28-Jan-2025 11:39:02	TrueTR
45	90.0006108	28-Jan-2025 11:39:02	SimTR
46	92.0000822	28-Jan-2025 11:39:04	SimTR
44	92.0012707	28-Jan-2025 11:39:04	TrueTR
45	93.9952048	28-Jan-2025 11:39:06	TrueTR
47	94.000087	28-Jan-2025 11:39:06	SimTR
46	95.9996251	28-Jan-2025 11:39:08	TrueTR
48	96.0159583	28-Jan-2025 11:39:08	SimTR
47	97.9997733	28-Jan-2025 11:39:10	TrueTR
49	98.016001	28-Jan-2025 11:39:10	SimTR
50	100.0327864	28-Jan-2025 11:39:12	SimTR
48	100.0339747	28-Jan-2025 11:39:12	TrueTR
51	102.0019989	28-Jan-2025 11:39:14	SimTR
49	102.0344325	28-Jan-2025 11:39:14	TrueTR
52	104.0330851	28-Jan-2025 11:39:16	SimTR
50	104.0341853	28-Jan-2025 11:39:16	TrueTR
53	106.0011456	28-Jan-2025 11:39:18	SimTR
51	106.0024009	28-Jan-2025 11:39:18	TrueTR
54	108.0001865	28-Jan-2025 11:39:20	SimTR
52	108.0016901	28-Jan-2025 11:39:20	TrueTR
55	110.0331232	28-Jan-2025 11:39:22	SimTR
53	110.0341338	28-Jan-2025 11:39:22	TrueTR
56	112.0007999	28-Jan-2025 11:39:24	SimTR
54	112.0024047	28-Jan-2025 11:39:24	TrueTR
57	114.0008565	28-Jan-2025 11:39:26	SimTR
55	114.0025286	28-Jan-2025 11:39:26	TrueTR
58	116.0017903	28-Jan-2025 11:39:28	SimTR
56	116.002833	28-Jan-2025 11:39:28	TrueTR
57	117.9953025	28-Jan-2025 11:39:30	TrueTR
59	118.0000341	28-Jan-2025 11:39:30	SimTR
58	119.9901554	28-Jan-2025 11:39:32	TrueTR
60	120.000046	28-Jan-2025 11:39:32	SimTR
61	122.000065	28-Jan-2025 11:39:34	SimTR
59	122.0039561	28-Jan-2025 11:39:34	TrueTR
62	124.0000365	28-Jan-2025 11:39:36	SimTR
60	124.0053751	28-Jan-2025 11:39:36	TrueTR
63	126.0000353	28-Jan-2025 11:39:38	SimTR
61	126.0013378	28-Jan-2025 11:39:38	TrueTR
64	128.0336515	28-Jan-2025 11:39:40	SimTR
62	128.0347037	28-Jan-2025 11:39:40	TrueTR
65	130.0026254	28-Jan-2025 11:39:42	SimTR
63	130.0037444	28-Jan-2025 11:39:42	TrueTR
66	132.0006985	28-Jan-2025 11:39:44	SimTR
64	132.0024362	28-Jan-2025 11:39:44	TrueTR
67	134.0012301	28-Jan-2025 11:39:46	SimTR
65	134.0022838	28-Jan-2025 11:39:46	TrueTR
68	136.0339805	28-Jan-2025 11:39:48	SimTR
66	136.0354405	28-Jan-2025 11:39:48	TrueTR
69	138.0340414	28-Jan-2025 11:39:50	SimTR
67	138.0351477	28-Jan-2025 11:39:50	TrueTR
70	140.0018196	28-Jan-2025 11:39:52	SimTR
68	140.0353929	28-Jan-2025 11:39:52	TrueTR
71	142.0341989	28-Jan-2025 11:39:54	SimTR
69	142.035782	28-Jan-2025 11:39:54	TrueTR
72	144.0009142	28-Jan-2025 11:39:56	SimTR
70	144.0345118	28-Jan-2025 11:39:56	TrueTR
73	146.0020636	28-Jan-2025 11:39:58	SimTR
71	146.003558	28-Jan-2025 11:39:58	TrueTR
74	148.0343174	28-Jan-2025 11:40:00	SimTR
72	148.035426	28-Jan-2025 11:40:00	TrueTR
73	149.9990269	28-Jan-2025 11:40:02	TrueTR
75	150.0013466	28-Jan-2025 11:40:02	SimTR
74	151.9970538	28-Jan-2025 11:40:04	TrueTR
76	152.0002793	28-Jan-2025 11:40:04	SimTR
75	153.9958391	28-Jan-2025 11:40:06	TrueTR
77	154.0003782	28-Jan-2025 11:40:06	SimTR
76	155.995671	28-Jan-2025 11:40:08	TrueTR
78	156.0000164	28-Jan-2025 11:40:08	SimTR
77	157.9945923	28-Jan-2025 11:40:10	TrueTR
79	158.0000446	28-Jan-2025 11:40:10	SimTR
80	160.0180862	28-Jan-2025 11:40:12	SimTR
78	160.0193244	28-Jan-2025 11:40:12	TrueTR
81	162.0181368	28-Jan-2025 11:40:14	SimTR
79	162.0198524	28-Jan-2025 11:40:14	TrueTR
82	164.0014055	28-Jan-2025 11:40:16	SimTR
80	164.0519506	28-Jan-2025 11:40:16	TrueTR
83	166.0202172	28-Jan-2025 11:40:18	SimTR
81	166.0216663	28-Jan-2025 11:40:18	TrueTR
84	168.0210546	28-Jan-2025 11:40:20	SimTR
82	168.0222047	28-Jan-2025 11:40:20	TrueTR
85	170.0200123	28-Jan-2025 11:40:22	SimTR
83	170.0215143	28-Jan-2025 11:40:22	TrueTR
86	172.0203816	28-Jan-2025 11:40:24	SimTR
84	172.0215042	28-Jan-2025 11:40:24	TrueTR
87	174.0208046	28-Jan-2025 11:40:26	SimTR
85	174.0222757	28-Jan-2025 11:40:26	TrueTR
88	176.0206628	28-Jan-2025 11:40:28	SimTR
86	176.0218421	28-Jan-2025 11:40:28	TrueTR
89	178.0200742	28-Jan-2025 11:40:30	SimTR
87	178.0212297	28-Jan-2025 11:40:30	TrueTR
90	180.0000179	28-Jan-2025 11:40:32	SimTR
91	182.0000208	28-Jan-2025 11:40:34	SimTR
88	182.0069295	28-Jan-2025 11:40:34	TrueTR
92	184.000051	28-Jan-2025 11:40:36	SimTR
89	184.0011767	28-Jan-2025 11:40:36	TrueTR
93	186.0000592	28-Jan-2025 11:40:38	SimTR
90	186.0021086	28-Jan-2025 11:40:38	TrueTR
94	188.0000607	28-Jan-2025 11:40:40	SimTR
91	188.0010838	28-Jan-2025 11:40:40	TrueTR
95	190.0358663	28-Jan-2025 11:40:42	SimTR
92	190.0370753	28-Jan-2025 11:40:42	TrueTR
96	192.0357042	28-Jan-2025 11:40:44	SimTR
93	192.0374154	28-Jan-2025 11:40:44	TrueTR
97	194.0358001	28-Jan-2025 11:40:46	SimTR
94	194.0368676	28-Jan-2025 11:40:46	TrueTR
98	196.0041236	28-Jan-2025 11:40:48	SimTR
95	196.0056379	28-Jan-2025 11:40:48	TrueTR
99	198.0043955	28-Jan-2025 11:40:50	SimTR
96	198.0381302	28-Jan-2025 11:40:50	TrueTR
100	200.0046263	28-Jan-2025 11:40:52	SimTR
97	200.0382226	28-Jan-2025 11:40:52	TrueTR
101	202.0043992	28-Jan-2025 11:40:54	SimTR
98	202.0059116	28-Jan-2025 11:40:54	TrueTR
102	204.0047573	28-Jan-2025 11:40:56	SimTR
99	204.0062637	28-Jan-2025 11:40:56	TrueTR
103	206.0040189	28-Jan-2025 11:40:58	SimTR
100	206.0050557	28-Jan-2025 11:40:58	TrueTR
104	208.0044608	28-Jan-2025 11:41:00	SimTR
101	208.005615	28-Jan-2025 11:41:00	TrueTR
105	210.0063222	28-Jan-2025 11:41:02	SimTR
102	210.0078829	28-Jan-2025 11:41:02	TrueTR
103	211.9967648	28-Jan-2025 11:41:04	TrueTR
106	212.0000757	28-Jan-2025 11:41:04	SimTR
104	213.9947736	28-Jan-2025 11:41:06	TrueTR
107	214.0000831	28-Jan-2025 11:41:06	SimTR
108	216.0000776	28-Jan-2025 11:41:08	SimTR
105	216.0074214	28-Jan-2025 11:41:08	TrueTR
109	218.0000643	28-Jan-2025 11:41:10	SimTR
106	218.0130009	28-Jan-2025 11:41:10	TrueTR
110	220.0000749	28-Jan-2025 11:41:12	SimTR
107	220.0107849	28-Jan-2025 11:41:12	TrueTR
111	222.0200112	28-Jan-2025 11:41:14	SimTR
108	222.0212017	28-Jan-2025 11:41:14	TrueTR
112	224.0200502	28-Jan-2025 11:41:16	SimTR
109	224.021256	28-Jan-2025 11:41:16	TrueTR
113	226.0202183	28-Jan-2025 11:41:18	SimTR
110	226.0214433	28-Jan-2025 11:41:18	TrueTR
114	228.0204589	28-Jan-2025 11:41:20	SimTR
111	228.0216748	28-Jan-2025 11:41:20	TrueTR
115	230.0206868	28-Jan-2025 11:41:22	SimTR
112	230.021863	28-Jan-2025 11:41:22	TrueTR
116	232.0204993	28-Jan-2025 11:41:24	SimTR
113	232.0217142	28-Jan-2025 11:41:24	TrueTR
117	234.0051947	28-Jan-2025 11:41:26	SimTR
114	234.0067811	28-Jan-2025 11:41:26	TrueTR
118	236.0204674	28-Jan-2025 11:41:28	SimTR
115	236.0216773	28-Jan-2025 11:41:28	TrueTR
119	238.0212662	28-Jan-2025 11:41:30	SimTR
116	238.0224757	28-Jan-2025 11:41:30	TrueTR
120	240.0086645	28-Jan-2025 11:41:32	SimTR
117	240.01031	28-Jan-2025 11:41:32	TrueTR
121	242.0396566	28-Jan-2025 11:41:34	SimTR
118	242.040833	28-Jan-2025 11:41:34	TrueTR
119	243.9953584	28-Jan-2025 11:41:36	TrueTR
122	244.0000753	28-Jan-2025 11:41:36	SimTR
120	245.9951478	28-Jan-2025 11:41:38	TrueTR
123	246.0000969	28-Jan-2025 11:41:38	SimTR
121	247.9946403	28-Jan-2025 11:41:40	TrueTR
124	248.0000972	28-Jan-2025 11:41:40	SimTR
122	249.9957543	28-Jan-2025 11:41:42	TrueTR
125	250.00008	28-Jan-2025 11:41:42	SimTR
123	251.9994996	28-Jan-2025 11:41:44	TrueTR
126	252.0009398	28-Jan-2025 11:41:44	SimTR
127	254.0044672	28-Jan-2025 11:41:46	SimTR
124	254.0380339	28-Jan-2025 11:41:46	TrueTR
128	256.0045049	28-Jan-2025 11:41:48	SimTR
125	256.038188	28-Jan-2025 11:41:48	TrueTR
129	258.0045575	28-Jan-2025 11:41:50	SimTR
126	258.0381757	28-Jan-2025 11:41:50	TrueTR
130	260.0060414	28-Jan-2025 11:41:52	SimTR
127	260.0398738	28-Jan-2025 11:41:52	TrueTR
131	262.0055812	28-Jan-2025 11:41:54	SimTR
128	262.006779	28-Jan-2025 11:41:54	TrueTR
132	264.0065212	28-Jan-2025 11:41:56	SimTR
129	264.0079827	28-Jan-2025 11:41:56	TrueTR
133	266.0134393	28-Jan-2025 11:41:58	SimTR
130	266.0146933	28-Jan-2025 11:41:58	TrueTR
134	268.0059696	28-Jan-2025 11:42:00	SimTR
131	268.0076285	28-Jan-2025 11:42:00	TrueTR
135	270.0070354	28-Jan-2025 11:42:02	SimTR
132	270.0081387	28-Jan-2025 11:42:02	TrueTR
136	272.0060257	28-Jan-2025 11:42:04	SimTR
133	272.0071248	28-Jan-2025 11:42:04	TrueTR
137	274.0062575	28-Jan-2025 11:42:06	SimTR
134	274.0073476	28-Jan-2025 11:42:06	TrueTR
138	276.0000433	28-Jan-2025 11:42:08	SimTR
135	276.001589	28-Jan-2025 11:42:08	TrueTR
136	277.9990394	28-Jan-2025 11:42:10	TrueTR
139	278.0006623	28-Jan-2025 11:42:10	SimTR
137	279.9979557	28-Jan-2025 11:42:12	TrueTR
140	280.0000282	28-Jan-2025 11:42:12	SimTR
138	281.9985761	28-Jan-2025 11:42:14	TrueTR
141	282.0003531	28-Jan-2025 11:42:14	SimTR
142	284.0000207	28-Jan-2025 11:42:16	SimTR
139	284.0011159	28-Jan-2025 11:42:16	TrueTR
143	286.0054814	28-Jan-2025 11:42:18	SimTR
140	286.006658	28-Jan-2025 11:42:18	TrueTR
144	288.0054955	28-Jan-2025 11:42:20	SimTR
141	288.0067392	28-Jan-2025 11:42:20	TrueTR
145	290.0055307	28-Jan-2025 11:42:22	SimTR
142	290.0066551	28-Jan-2025 11:42:22	TrueTR
146	292.0172721	28-Jan-2025 11:42:24	SimTR
143	292.0184311	28-Jan-2025 11:42:24	TrueTR
147	294.0078835	28-Jan-2025 11:42:26	SimTR
144	294.0416254	28-Jan-2025 11:42:26	TrueTR
148	296.0083061	28-Jan-2025 11:42:28	SimTR
145	296.0411409	28-Jan-2025 11:42:28	TrueTR
149	298.0102934	28-Jan-2025 11:42:30	SimTR
146	298.0114682	28-Jan-2025 11:42:30	TrueTR
150	300.0086893	28-Jan-2025 11:42:32	SimTR
147	300.0098712	28-Jan-2025 11:42:32	TrueTR
151	302.0078654	28-Jan-2025 11:42:34	SimTR
