TR	RelativeTime	Datetime	Description
1	2.0292933	23-Jan-2025 12:27:55	SimTR
0	2.0322626	23-Jan-2025 12:27:55	TrueTR
2	4.0290876	23-Jan-2025 12:27:57	SimTR
1	4.0308976	23-Jan-2025 12:27:57	TrueTR
3	6.0291598	23-Jan-2025 12:27:59	SimTR
2	6.0315408	23-Jan-2025 12:27:59	TrueTR
4	8.0312627	23-Jan-2025 12:28:01	SimTR
3	8.033081	23-Jan-2025 12:28:01	TrueTR
5	10.0308119	23-Jan-2025 12:28:03	SimTR
4	10.0333565	23-Jan-2025 12:28:03	TrueTR
6	12.0295447	23-Jan-2025 12:28:05	SimTR
5	12.0312737	23-Jan-2025 12:28:05	TrueTR
7	14.0293878	23-Jan-2025 12:28:07	SimTR
6	14.0307118	23-Jan-2025 12:28:07	TrueTR
8	16.0307294	23-Jan-2025 12:28:09	SimTR
7	16.0322732	23-Jan-2025 12:28:09	TrueTR
9	18.0295861	23-Jan-2025 12:28:11	SimTR
8	18.030767	23-Jan-2025 12:28:11	TrueTR
10	20.029688	23-Jan-2025 12:28:13	SimTR
9	20.0314223	23-Jan-2025 12:28:13	TrueTR
11	22.0318687	23-Jan-2025 12:28:15	SimTR
10	22.0334072	23-Jan-2025 12:28:15	TrueTR
12	24.0000787	23-Jan-2025 12:28:17	SimTR
11	25.9972674	23-Jan-2025 12:28:19	TrueTR
13	26.0000491	23-Jan-2025 12:28:19	SimTR
12	27.9955452	23-Jan-2025 12:28:21	TrueTR
14	28.000061	23-Jan-2025 12:28:21	SimTR
15	30.0000097	23-Jan-2025 12:28:23	SimTR
13	30.0151118	23-Jan-2025 12:28:23	TrueTR
16	32.0000214	23-Jan-2025 12:28:25	SimTR
14	32.0089854	23-Jan-2025 12:28:25	TrueTR
17	34.0305112	23-Jan-2025 12:28:27	SimTR
15	34.0318369	23-Jan-2025 12:28:27	TrueTR
18	36.0301731	23-Jan-2025 12:28:29	SimTR
16	36.0316067	23-Jan-2025 12:28:29	TrueTR
19	38.0304395	23-Jan-2025 12:28:31	SimTR
17	38.0317969	23-Jan-2025 12:28:31	TrueTR
20	40.0324093	23-Jan-2025 12:28:33	SimTR
18	40.0337272	23-Jan-2025 12:28:33	TrueTR
19	42.0001724	23-Jan-2025 12:28:35	TrueTR
21	42.0338518	23-Jan-2025 12:28:35	SimTR
20	44.000557	23-Jan-2025 12:28:37	TrueTR
22	44.0326957	23-Jan-2025 12:28:37	SimTR
21	46.0002484	23-Jan-2025 12:28:39	TrueTR
23	46.0336767	23-Jan-2025 12:28:39	SimTR
22	48.0001418	23-Jan-2025 12:28:41	TrueTR
24	48.0329915	23-Jan-2025 12:28:41	SimTR
23	49.9996585	23-Jan-2025 12:28:43	TrueTR
25	50.0334258	23-Jan-2025 12:28:43	SimTR
26	52.0018339	23-Jan-2025 12:28:45	SimTR
24	52.0339322	23-Jan-2025 12:28:45	TrueTR
27	54.0016022	23-Jan-2025 12:28:47	SimTR
25	54.0096351	23-Jan-2025 12:28:47	TrueTR
28	56.0000782	23-Jan-2025 12:28:49	SimTR
26	56.0095645	23-Jan-2025 12:28:49	TrueTR
29	58.0169801	23-Jan-2025 12:28:51	SimTR
27	58.0180946	23-Jan-2025 12:28:51	TrueTR
30	60.0001068	23-Jan-2025 12:28:53	SimTR
28	60.0083222	23-Jan-2025 12:28:53	TrueTR
31	62.0000642	23-Jan-2025 12:28:55	SimTR
29	62.0017685	23-Jan-2025 12:28:55	TrueTR
32	64.0000892	23-Jan-2025 12:28:57	SimTR
30	64.004662	23-Jan-2025 12:28:57	TrueTR
33	66.0142535	23-Jan-2025 12:28:59	SimTR
31	66.0157663	23-Jan-2025 12:28:59	TrueTR
32	67.9984724	23-Jan-2025 12:29:01	TrueTR
34	68.0144041	23-Jan-2025 12:29:01	SimTR
35	70.0143571	23-Jan-2025 12:29:03	SimTR
33	70.0156998	23-Jan-2025 12:29:03	TrueTR
34	71.9992908	23-Jan-2025 12:29:05	TrueTR
36	72.0317059	23-Jan-2025 12:29:05	SimTR
37	74.031324	23-Jan-2025 12:29:07	SimTR
35	74.0324741	23-Jan-2025 12:29:07	TrueTR
38	76.03144	23-Jan-2025 12:29:09	SimTR
36	76.0331261	23-Jan-2025 12:29:09	TrueTR
39	78.0325291	23-Jan-2025 12:29:11	SimTR
37	78.033796	23-Jan-2025 12:29:11	TrueTR
40	80.0324341	23-Jan-2025 12:29:13	SimTR
38	80.0338778	23-Jan-2025 12:29:13	TrueTR
41	82.0317988	23-Jan-2025 12:29:15	SimTR
39	82.0335695	23-Jan-2025 12:29:15	TrueTR
42	84.0327281	23-Jan-2025 12:29:17	SimTR
40	84.0341409	23-Jan-2025 12:29:17	TrueTR
43	86.0000726	23-Jan-2025 12:29:19	SimTR
41	86.0016296	23-Jan-2025 12:29:19	TrueTR
42	87.9998065	23-Jan-2025 12:29:21	TrueTR
44	88.0012785	23-Jan-2025 12:29:21	SimTR
43	89.9976993	23-Jan-2025 12:29:23	TrueTR
45	90.0000714	23-Jan-2025 12:29:23	SimTR
44	91.9980583	23-Jan-2025 12:29:25	TrueTR
46	92.0002242	23-Jan-2025 12:29:25	SimTR
45	93.9971065	23-Jan-2025 12:29:27	TrueTR
47	94.0001623	23-Jan-2025 12:29:27	SimTR
48	96.0153507	23-Jan-2025 12:29:29	SimTR
46	96.016694	23-Jan-2025 12:29:29	TrueTR
49	98.0154065	23-Jan-2025 12:29:31	SimTR
47	98.0167622	23-Jan-2025 12:29:31	TrueTR
50	100.015437	23-Jan-2025 12:29:33	SimTR
48	100.0165869	23-Jan-2025 12:29:33	TrueTR
51	102.0157375	23-Jan-2025 12:29:35	SimTR
49	102.0170907	23-Jan-2025 12:29:35	TrueTR
52	104.0155552	23-Jan-2025 12:29:37	SimTR
50	104.0168296	23-Jan-2025 12:29:37	TrueTR
53	106.0156131	23-Jan-2025 12:29:39	SimTR
51	106.0168027	23-Jan-2025 12:29:39	TrueTR
54	108.0157256	23-Jan-2025 12:29:41	SimTR
52	108.0169339	23-Jan-2025 12:29:41	TrueTR
55	110.0163404	23-Jan-2025 12:29:43	SimTR
53	110.0177024	23-Jan-2025 12:29:43	TrueTR
56	112.015838	23-Jan-2025 12:29:45	SimTR
54	112.0170625	23-Jan-2025 12:29:45	TrueTR
57	114.0160231	23-Jan-2025 12:29:47	SimTR
55	114.0172473	23-Jan-2025 12:29:47	TrueTR
58	116.0184411	23-Jan-2025 12:29:49	SimTR
56	116.0199232	23-Jan-2025 12:29:49	TrueTR
59	118.0000857	23-Jan-2025 12:29:51	SimTR
57	118.009762	23-Jan-2025 12:29:51	TrueTR
60	120.0000609	23-Jan-2025 12:29:53	SimTR
58	120.010471	23-Jan-2025 12:29:53	TrueTR
61	122.0000198	23-Jan-2025 12:29:55	SimTR
59	122.0097321	23-Jan-2025 12:29:55	TrueTR
62	124.0000631	23-Jan-2025 12:29:57	SimTR
60	124.0100518	23-Jan-2025 12:29:57	TrueTR
63	126.0000463	23-Jan-2025 12:29:59	SimTR
61	126.005265	23-Jan-2025 12:29:59	TrueTR
64	128.0163621	23-Jan-2025 12:30:01	SimTR
62	128.0177558	23-Jan-2025 12:30:01	TrueTR
65	130.0164639	23-Jan-2025 12:30:03	SimTR
63	130.0178059	23-Jan-2025 12:30:03	TrueTR
66	132.0165602	23-Jan-2025 12:30:05	SimTR
64	132.0181644	23-Jan-2025 12:30:05	TrueTR
67	134.0018362	23-Jan-2025 12:30:07	SimTR
65	134.0036619	23-Jan-2025 12:30:07	TrueTR
68	136.0165631	23-Jan-2025 12:30:09	SimTR
66	136.0178503	23-Jan-2025 12:30:09	TrueTR
69	138.0005317	23-Jan-2025 12:30:11	SimTR
67	138.0021045	23-Jan-2025 12:30:11	TrueTR
70	140.0166795	23-Jan-2025 12:30:13	SimTR
68	140.0180789	23-Jan-2025 12:30:13	TrueTR
71	142.0168589	23-Jan-2025 12:30:15	SimTR
69	142.0182747	23-Jan-2025 12:30:15	TrueTR
72	144.0017816	23-Jan-2025 12:30:17	SimTR
70	144.0340693	23-Jan-2025 12:30:17	TrueTR
73	146.0173812	23-Jan-2025 12:30:19	SimTR
